Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
"4-methylmyoinositol; 1-methyl-cyclohexane-1,2,3,4,5,6-hexaol; 1-Methyl-cyclohexan-1,2,3,4,5,6-hexaol; Mytilit",CC1(O)C(O)C(O)C(O)C(O)C1O,194.185,002302-41-2,4300,24,Article; Daniel; Doran; Biochemical Journal; vol. 20; (1926); p. 676;,H2O,Solubility :0.43 percent.,AJGYLNFUYLRZFR-UHFFFAOYSA-N
2-hydroxy-6-methoxy-quinoline-4-carboxylic acid; 2-Hydroxy-6-methoxy-chinolin-4-carbonsaeure; 2-Hydroxychininsaeure,COC1=CC=C2N=C(O)C=C(C(O)=O)C2=C1,219.197,032431-29-1,170,21,"Article; Thielepape; Fulde; Chemische Berichte; vol. 72; (1939); p. 1432,1438;",H2O,Solubility :0.017 percent.,ATQXNYQCZFMIKY-UHFFFAOYSA-N
"3,5-dinitro-4-piperidin-1-yl-benzenesulfonamide",NS(=O)(=O)C1=CC(=C(N2CCCCC2)C(=C1)N(=O)=O)N(=O)=O,330.321,019044-92-9,11,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.0011 weight-percent,AURNBDKJCQMLMP-UHFFFAOYSA-N
(+/-)-N-benzyl-2-hydroxy-succinamic acid; (+/-)-N-Benzyl-2-hydroxy-succinamidsaeure; N-Benzyl-2-hydroxy-succinamidsaeure,OC(CC(=O)NCC1=CC=CC=C1)C(O)=O,223.229,141650-65-9,8200,18,Article; Lutz; Chemische Berichte; vol. 37; (1904); p. 2125; Chemisches Zentralblatt; vol. 71; II; (1900); p. 1011;,H2O,0.820 part(s) of substance.dissolves in:100 parts of solvent.,AWENCJBDNVGPNN-UHFFFAOYSA-N
(4-carboxyphenyl)phenylphosphinic acid; <4-Carboxy-phenyl>-phenyl-phosphinsaeure; <p-Carboxy-phenyl>-phenylphosphinsaeure; (p-Carboxy-phenyl)-phenylphosphinsaeure,OC(=O)C1=CC=C(C=C1)P(O)(=O)C1=CC=CC=C1,262.202,106384-34-3,58.81,26.7,"Conference Paper; Wang, Zhong-Wei; Sun, Qi-Xin; Wu, Jun-Sheng; Wang, Li-Sheng; Journal of Chemical and Engineering Data; vol. 48; 4; (2003); p. 1073 - 1075;",H2O,Solubility: 0.02243 mol-percent,BFSMULOSYIQCGJ-UHFFFAOYSA-N
"7,9-bis-hydroxymethyl-uric acid; 7,9-Bis-hydroxymethyl-harnsaeure",OCN1C(=O)N(CO)C2=C1NC(=O)NC2=O,228.164,,2857.14,18,"Article; Nicolaier; Chemisches Zentralblatt; (1907); p. I, 949;",H2O,1 part(s) of substance.dissolves in:350 parts of solvent.,BHYKJEPAYCFKOI-UHFFFAOYSA-N
5-chloro-2-(methylthio)-6-(1-naphthyloxy)-1H-benzimidazol; 5-chloro-2-methylthio-6-(1-naphthyloxy)-1H-benzimidazole,CSC1=NC2=C(N1)C=C(OC1=CC=CC3=CC=CC=C13)C(Cl)=C2,340.833,,2.6,25,"Patent; UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO; CASTILLO BOCANEGRA, Rafael; FLORES RAMOS, Miguel Angel; HERNANDEZ CAMPOS, Maria Alicia; IBARRA VELARDE, Osvaldo Froylan; VERA MONTENEGRO, Remedios Yolanda; (13 pag.)US2017/327470; (2017); A1;",water,Solubility: 0.00026 g/100g solvent,BRUDBEAFYXLNQE-UHFFFAOYSA-N
"3-hydroxy-2,2,5-trimethyl-hexanoic acid; beta-Oxy-alpha.alpha.beta-trimethyl-n-capronsaeure; alpha.alpha-Dimethyl-gamma-isobutyl-hydracrylsaeure; 3-Oxy-2.5-dimethyl-hexan-carbonsaeure-(2); 3-Hydroxy-2,2,5-trimethyl-hexansaeure; gamma-Oxy-beta.epsilon-dimethyl-hexan-beta-carbonsaeure; beta-Oxy-alpha.alpha.delta-trimethyl-n-capronsaeure",CC(C)CC(O)C(C)(C)C(O)=O,174.24,872279-87-3,15000,20,Article; Kukulesko; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 28; (1896); p. 297;,H2O,1.5 part(s) of substance.dissolves in:100 parts of solvent.,BUMRLUOBPPBWBM-UHFFFAOYSA-N
"benzene-1,3,5-trisulfonamide; Benzol-1,3,5-trisulfonamid; Benzoltrisulfonamid-(1.3.5); Benzol-1,3,5-trisulfamid",NS(=O)(=O)C1=CC(=CC(=C1)S(N)(=O)=O)S(N)(=O)=O,315.352,22808-81-7,1500,25,Article; Jackson; Wing; American Chemical Journal; vol. 9; (1887); p. 354;,H2O,1.5 part(s) of substance.dissolves in:1000 parts of solvent.,CDLYXDFCMGULGU-UHFFFAOYSA-N
"2,4-diethylglutaric acid; racem.-2,4-diethyl-glutaric acid; racem.-2,4-Diaethyl-glutarsaeure",[H]C([H])([C@]([H])(CC)C(O)=O)[C@]([H])(CC)C(O)=O,188.224,27899-21-4,15280,19,Article; Reformatski; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 34; (1902); p. 359; Chemisches Zentralblatt; vol. 73; II; (1902); p. 107;,H2O,1.5280 part(s) of substance.dissolves in:100 parts of solvent.,CEAKZVDHZILFGK-BQBZGAKWSA-N
